lag_k, autocorrelation
0, 1.000000
1, 0.983450
2, 0.968135
3, 0.953990
4, 0.940673
5, 0.928116
6, 0.916544
7, 0.905318
8, 0.894822
9, 0.884641
10, 0.875051
11, 0.865995
12, 0.857278
13, 0.849063
14, 0.841288
15, 0.833861
16, 0.827077
17, 0.820219
18, 0.813268
19, 0.806610
20, 0.800222
21, 0.794052
22, 0.788168
23, 0.782379
24, 0.776433
25, 0.770523
26, 0.764994
27, 0.759700
28, 0.754325
29, 0.748998
30, 0.743782
31, 0.738810
32, 0.733848
33, 0.728911
34, 0.724093
35, 0.719361
36, 0.714851
37, 0.710422
38, 0.706041
39, 0.701677
40, 0.697299
41, 0.692811
42, 0.688502
43, 0.684118
44, 0.679619
45, 0.675178
46, 0.670958
47, 0.666632
48, 0.662433
49, 0.658339
50, 0.654333
51, 0.650351
52, 0.646450
53, 0.642449
54, 0.638640
55, 0.634553
56, 0.630122
57, 0.625717
58, 0.621353
59, 0.617089
60, 0.612941
61, 0.608969
62, 0.605064
63, 0.601103
64, 0.597317
65, 0.593614
66, 0.589884
67, 0.586103
68, 0.582402
69, 0.578981
70, 0.575539
71, 0.571981
72, 0.568546
73, 0.564935
74, 0.561230
75, 0.557408
76, 0.553680
77, 0.549934
78, 0.546321
79, 0.542684
80, 0.539126
81, 0.535424
82, 0.531637
83, 0.527802
84, 0.524083
85, 0.520521
86, 0.516879
87, 0.513037
88, 0.509357
89, 0.505890
90, 0.502444
91, 0.498924
92, 0.495418
93, 0.492088
94, 0.488282
95, 0.484473
96, 0.480689
97, 0.477023
98, 0.473379
99, 0.469637
100, 0.465949
101, 0.462439
102, 0.458936
103, 0.455348
104, 0.451749
105, 0.448236
106, 0.444655
107, 0.441248
108, 0.437838
109, 0.434368
110, 0.430848
111, 0.427384
112, 0.424198
113, 0.421097
114, 0.417881
115, 0.414749
116, 0.411494
117, 0.408244
118, 0.405019
119, 0.401836
120, 0.398766
121, 0.395805
122, 0.392859
123, 0.389829
124, 0.387011
125, 0.384237
126, 0.381616
127, 0.379245
128, 0.376789
129, 0.374240
130, 0.371795
131, 0.369402
132, 0.367086
133, 0.364705
134, 0.362274
135, 0.359803
136, 0.357251
137, 0.354865
138, 0.352489
139, 0.350122
140, 0.348044
141, 0.345895
142, 0.343809
143, 0.341806
144, 0.339940
145, 0.338017
146, 0.336016
147, 0.334083
148, 0.332099
149, 0.330053
150, 0.328038
151, 0.326010
152, 0.323936
153, 0.321701
154, 0.319583
155, 0.317380
156, 0.315345
157, 0.313358
158, 0.311242
159, 0.309103
160, 0.306843
161, 0.304594
162, 0.302293
163, 0.300148
164, 0.298065
165, 0.295910
166, 0.293681
167, 0.291466
168, 0.289281
169, 0.286997
170, 0.285008
171, 0.282985
172, 0.281055
173, 0.279045
174, 0.277013
175, 0.275061
176, 0.273239
177, 0.271370
178, 0.269542
179, 0.267638
180, 0.265681
181, 0.263780
182, 0.262001
183, 0.260137
184, 0.258250
185, 0.256340
186, 0.254639
187, 0.252949
188, 0.251258
189, 0.249551
190, 0.247897
191, 0.246255
192, 0.244593
193, 0.243004
194, 0.241373
195, 0.239781
196, 0.238308
197, 0.236785
198, 0.235320
199, 0.233875
200, 0.232468
201, 0.230910
202, 0.229427
203, 0.227871
204, 0.226221
205, 0.224556
206, 0.222872
207, 0.221135
208, 0.219398
209, 0.217684
210, 0.216039
211, 0.214369
212, 0.212613
213, 0.211069
214, 0.209606
215, 0.208192
216, 0.206856
217, 0.205435
218, 0.203984
219, 0.202585
220, 0.201121
221, 0.199668
222, 0.198280
223, 0.196820
224, 0.195293
225, 0.193824
226, 0.192272
227, 0.190822
228, 0.189390
229, 0.188048
230, 0.186728
231, 0.185402
232, 0.184002
233, 0.182667
234, 0.181407
235, 0.180054
236, 0.178675
237, 0.177287
238, 0.175843
239, 0.174455
240, 0.172946
241, 0.171530
242, 0.170106
243, 0.168616
244, 0.167298
245, 0.165945
246, 0.164577
247, 0.163248
248, 0.161989
249, 0.160739
250, 0.159470
251, 0.158252
252, 0.157056
253, 0.155833
254, 0.154661
255, 0.153439
256, 0.152184
257, 0.150965
258, 0.149831
259, 0.148626
260, 0.147391
261, 0.146252
262, 0.145133
263, 0.144010
264, 0.142848
265, 0.141713
266, 0.140511
267, 0.139298
268, 0.138094
269, 0.136870
270, 0.135699
271, 0.134585
272, 0.133548
273, 0.132548
274, 0.131469
275, 0.130415
276, 0.129346
277, 0.128321
278, 0.127289
279, 0.126247
280, 0.125244
281, 0.124209
282, 0.123205
283, 0.122161
284, 0.121133
285, 0.120249
286, 0.119334
287, 0.118309
288, 0.117256
289, 0.116182
290, 0.115199
291, 0.114211
292, 0.113190
293, 0.112112
294, 0.110991
295, 0.109881
296, 0.108759
297, 0.107614
298, 0.106510
299, 0.105416
300, 0.104341
301, 0.103334
302, 0.102329
303, 0.101318
304, 0.100263
305, 0.099183
306, 0.098147
307, 0.097161
308, 0.096126
309, 0.095099
310, 0.094068
311, 0.093075
312, 0.092115
313, 0.091143
314, 0.090197
315, 0.089252
316, 0.088323
317, 0.087416
318, 0.086553
319, 0.085761
320, 0.084937
321, 0.084119
322, 0.083293
323, 0.082471
324, 0.081691
325, 0.080870
326, 0.080059
327, 0.079154
328, 0.078281
329, 0.077468
330, 0.076653
331, 0.075852
332, 0.075072
333, 0.074284
334, 0.073515
335, 0.072824
336, 0.072093
337, 0.071403
338, 0.070726
339, 0.070002
340, 0.069284
341, 0.068592
342, 0.067890
343, 0.067251
344, 0.066591
345, 0.065935
346, 0.065273
347, 0.064615
348, 0.063977
349, 0.063307
350, 0.062701
351, 0.062090
352, 0.061454
353, 0.060825
354, 0.060191
355, 0.059636
356, 0.059079
357, 0.058468
358, 0.057889
359, 0.057273
360, 0.056665
361, 0.056077
362, 0.055542
363, 0.054943
364, 0.054331
365, 0.053703
366, 0.053115
367, 0.052513
368, 0.051955
369, 0.051398
370, 0.050848
371, 0.050332
372, 0.049832
373, 0.049325
374, 0.048789
375, 0.048338
376, 0.047860
377, 0.047371
378, 0.046893
379, 0.046370
380, 0.045818
381, 0.045288
382, 0.044779
383, 0.044311
384, 0.043810
385, 0.043305
386, 0.042856
387, 0.042410
388, 0.042013
389, 0.041624
390, 0.041261
391, 0.040926
392, 0.040541
393, 0.040168
394, 0.039781
395, 0.039394
396, 0.038950
397, 0.038509
398, 0.038067
399, 0.037652
400, 0.037232
401, 0.036806
402, 0.036340
403, 0.035881
404, 0.035449
405, 0.035009
406, 0.034582
407, 0.034166
408, 0.033774
409, 0.033399
410, 0.033084
411, 0.032779
412, 0.032442
413, 0.032117
414, 0.031764
415, 0.031449
416, 0.031130
417, 0.030831
418, 0.030577
419, 0.030349
420, 0.030122
421, 0.029897
422, 0.029700
423, 0.029491
424, 0.029249
425, 0.028945
426, 0.028635
427, 0.028353
428, 0.028055
429, 0.027736
430, 0.027396
431, 0.027007
432, 0.026667
433, 0.026325
434, 0.025982
435, 0.025675
436, 0.025397
437, 0.025116
438, 0.024839
439, 0.024489
440, 0.024185
441, 0.023887
442, 0.023597
443, 0.023327
444, 0.023060
445, 0.022806
446, 0.022518
447, 0.022228
448, 0.021959
449, 0.021681
450, 0.021390
451, 0.021112
452, 0.020842
453, 0.020574
454, 0.020286
455, 0.020015
456, 0.019745
457, 0.019478
458, 0.019247
459, 0.018998
460, 0.018771
461, 0.018548
462, 0.018353
463, 0.018163
464, 0.017989
465, 0.017844
466, 0.017714
467, 0.017581
468, 0.017446
469, 0.017298
470, 0.017146
471, 0.016990
472, 0.016822
473, 0.016661
474, 0.016516
475, 0.016381
476, 0.016223
477, 0.016044
478, 0.015884
479, 0.015696
480, 0.015522
481, 0.015375
482, 0.015204
483, 0.015050
484, 0.014904
485, 0.014742
486, 0.014591
487, 0.014436
488, 0.014298
489, 0.014178
490, 0.014060
491, 0.013927
492, 0.013797
493, 0.013671
494, 0.013554
495, 0.013438
496, 0.013322
497, 0.013196
498, 0.013084
