lag_k, autocorrelation
0, 1.000000
1, 0.983222
2, 0.967916
3, 0.953781
4, 0.940472
5, 0.927924
6, 0.916360
7, 0.905142
8, 0.894653
9, 0.884480
10, 0.874906
11, 0.865866
12, 0.857157
13, 0.848951
14, 0.841348
15, 0.833929
16, 0.826828
17, 0.819964
18, 0.813009
19, 0.806346
20, 0.799951
21, 0.793774
22, 0.787885
23, 0.782085
24, 0.776129
25, 0.770211
26, 0.764674
27, 0.759366
28, 0.753994
29, 0.748670
30, 0.743465
31, 0.738506
32, 0.733541
33, 0.728603
34, 0.723785
35, 0.719046
36, 0.714529
37, 0.710092
38, 0.705708
39, 0.701340
40, 0.696953
41, 0.692444
42, 0.688120
43, 0.683642
44, 0.679143
45, 0.674703
46, 0.670484
47, 0.666198
48, 0.662001
49, 0.657909
50, 0.653947
51, 0.649957
52, 0.646050
53, 0.642042
54, 0.638030
55, 0.633949
56, 0.629522
57, 0.625120
58, 0.620762
59, 0.616454
60, 0.612310
61, 0.608337
62, 0.604428
63, 0.600467
64, 0.596658
65, 0.592871
66, 0.589168
67, 0.585413
68, 0.581741
69, 0.578260
70, 0.574764
71, 0.571249
72, 0.567850
73, 0.564206
74, 0.560527
75, 0.556802
76, 0.553131
77, 0.549482
78, 0.545893
79, 0.542283
80, 0.538750
81, 0.535055
82, 0.531287
83, 0.527468
84, 0.523760
85, 0.520164
86, 0.516537
87, 0.512736
88, 0.509055
89, 0.505582
90, 0.502132
91, 0.498612
92, 0.495117
93, 0.491612
94, 0.487889
95, 0.484229
96, 0.480497
97, 0.476886
98, 0.473309
99, 0.469604
100, 0.465962
101, 0.462508
102, 0.459063
103, 0.455567
104, 0.452002
105, 0.448516
106, 0.444972
107, 0.441601
108, 0.438220
109, 0.434784
110, 0.431296
111, 0.427878
112, 0.424733
113, 0.421671
114, 0.418543
115, 0.415423
116, 0.412179
117, 0.408916
118, 0.405788
119, 0.402609
120, 0.399557
121, 0.396608
122, 0.393671
123, 0.390649
124, 0.387833
125, 0.385060
126, 0.382441
127, 0.380071
128, 0.377614
129, 0.375060
130, 0.372614
131, 0.370221
132, 0.367904
133, 0.365513
134, 0.363076
135, 0.360600
136, 0.358084
137, 0.355669
138, 0.353269
139, 0.350869
140, 0.348650
141, 0.346503
142, 0.344403
143, 0.342410
144, 0.340531
145, 0.338586
146, 0.336539
147, 0.334585
148, 0.332579
149, 0.330486
150, 0.328467
151, 0.326433
152, 0.324364
153, 0.322217
154, 0.320081
155, 0.317904
156, 0.315840
157, 0.313806
158, 0.311658
159, 0.309491
160, 0.307343
161, 0.305058
162, 0.302753
163, 0.300560
164, 0.298426
165, 0.296216
166, 0.293936
167, 0.291681
168, 0.289388
169, 0.287036
170, 0.284920
171, 0.282883
172, 0.280914
173, 0.278891
174, 0.276843
175, 0.274879
176, 0.273055
177, 0.271184
178, 0.269302
179, 0.267440
180, 0.265547
181, 0.263660
182, 0.261898
183, 0.260036
184, 0.258179
185, 0.256346
186, 0.254623
187, 0.252912
188, 0.251223
189, 0.249485
190, 0.247826
191, 0.246155
192, 0.244459
193, 0.242829
194, 0.241149
195, 0.239522
196, 0.237945
197, 0.236397
198, 0.234914
199, 0.233486
200, 0.231980
201, 0.230445
202, 0.228961
203, 0.227396
204, 0.225740
205, 0.224079
206, 0.222394
207, 0.220663
208, 0.218923
209, 0.217220
210, 0.215590
211, 0.213932
212, 0.212280
213, 0.210721
214, 0.209250
215, 0.207833
216, 0.206499
217, 0.205086
218, 0.203645
219, 0.202264
220, 0.200764
221, 0.199304
222, 0.197912
223, 0.196463
224, 0.194948
225, 0.193497
226, 0.191982
227, 0.190544
228, 0.189134
229, 0.187814
230, 0.186521
231, 0.185213
232, 0.183826
233, 0.182562
234, 0.181318
235, 0.179956
236, 0.178593
237, 0.177225
238, 0.175800
239, 0.174414
240, 0.173007
241, 0.171588
242, 0.170189
243, 0.168757
244, 0.167378
245, 0.166036
246, 0.164677
247, 0.163360
248, 0.162104
249, 0.160859
250, 0.159600
251, 0.158398
252, 0.157216
253, 0.156000
254, 0.154820
255, 0.153674
256, 0.152420
257, 0.151233
258, 0.150100
259, 0.148905
260, 0.147665
261, 0.146527
262, 0.145408
263, 0.144279
264, 0.143098
265, 0.141965
266, 0.140821
267, 0.139601
268, 0.138392
269, 0.137196
270, 0.136019
271, 0.134935
272, 0.133903
273, 0.132914
274, 0.131844
275, 0.130785
276, 0.129715
277, 0.128697
278, 0.127672
279, 0.126652
280, 0.125658
281, 0.124636
282, 0.123646
283, 0.122613
284, 0.121597
285, 0.120734
286, 0.119816
287, 0.118812
288, 0.117780
289, 0.116758
290, 0.115798
291, 0.114834
292, 0.113839
293, 0.112787
294, 0.111693
295, 0.110620
296, 0.109508
297, 0.108384
298, 0.107303
299, 0.106229
300, 0.105174
301, 0.104185
302, 0.103194
303, 0.102200
304, 0.101141
305, 0.100084
306, 0.099066
307, 0.098093
308, 0.097069
309, 0.096053
310, 0.095027
311, 0.094040
312, 0.093087
313, 0.092137
314, 0.091225
315, 0.090298
316, 0.089390
317, 0.088500
318, 0.087651
319, 0.086854
320, 0.086072
321, 0.085262
322, 0.084445
323, 0.083659
324, 0.082887
325, 0.082071
326, 0.081273
327, 0.080397
328, 0.079539
329, 0.078730
330, 0.077919
331, 0.077139
332, 0.076355
333, 0.075579
334, 0.074829
335, 0.074108
336, 0.073383
337, 0.072700
338, 0.072027
339, 0.071307
340, 0.070626
341, 0.069937
342, 0.069244
343, 0.068592
344, 0.067928
345, 0.067277
346, 0.066616
347, 0.065956
348, 0.065314
349, 0.064643
350, 0.064035
351, 0.063424
352, 0.062787
353, 0.062175
354, 0.061586
355, 0.061032
356, 0.060472
357, 0.059862
358, 0.059279
359, 0.058659
360, 0.058058
361, 0.057463
362, 0.056923
363, 0.056314
364, 0.055697
365, 0.055082
366, 0.054491
367, 0.053876
368, 0.053308
369, 0.052746
370, 0.052192
371, 0.051675
372, 0.051172
373, 0.050658
374, 0.050148
375, 0.049645
376, 0.049163
377, 0.048673
378, 0.048194
379, 0.047687
380, 0.047147
381, 0.046587
382, 0.046077
383, 0.045607
384, 0.045103
385, 0.044600
386, 0.044158
387, 0.043703
388, 0.043294
389, 0.042911
390, 0.042549
391, 0.042183
392, 0.041794
393, 0.041422
394, 0.041037
395, 0.040651
396, 0.040210
397, 0.039777
398, 0.039350
399, 0.038923
400, 0.038498
401, 0.038059
402, 0.037588
403, 0.037132
404, 0.036702
405, 0.036259
406, 0.035822
407, 0.035392
408, 0.034987
409, 0.034601
410, 0.034271
411, 0.033952
412, 0.033597
413, 0.033258
414, 0.032892
415, 0.032562
416, 0.032230
417, 0.031918
418, 0.031654
419, 0.031413
420, 0.031172
421, 0.030954
422, 0.030741
423, 0.030524
424, 0.030274
425, 0.029960
426, 0.029639
427, 0.029346
428, 0.029035
429, 0.028702
430, 0.028349
431, 0.027944
432, 0.027588
433, 0.027229
434, 0.026873
435, 0.026547
436, 0.026241
437, 0.025948
438, 0.025658
439, 0.025328
440, 0.025017
441, 0.024710
442, 0.024414
443, 0.024146
444, 0.023873
445, 0.023614
446, 0.023329
447, 0.023033
448, 0.022758
449, 0.022475
450, 0.022182
451, 0.021903
452, 0.021630
453, 0.021358
454, 0.021070
455, 0.020795
456, 0.020522
457, 0.020251
458, 0.020002
459, 0.019752
460, 0.019519
461, 0.019294
462, 0.019099
463, 0.018909
464, 0.018736
465, 0.018589
466, 0.018455
467, 0.018319
468, 0.018170
469, 0.018018
470, 0.017856
471, 0.017696
472, 0.017527
473, 0.017364
474, 0.017218
475, 0.017083
476, 0.016923
477, 0.016754
478, 0.016578
479, 0.016390
480, 0.016216
481, 0.016069
482, 0.015897
483, 0.015742
484, 0.015597
485, 0.015436
486, 0.015282
487, 0.015133
488, 0.014998
489, 0.014877
490, 0.014758
491, 0.014636
492, 0.014509
493, 0.014388
494, 0.014277
495, 0.014165
496, 0.014056
497, 0.013934
498, 0.013829
499, 0.013711
