lag_k, autocorrelation
0, 1.000000
1, 0.998367
2, 0.996787
3, 0.995247
4, 0.993746
5, 0.992282
6, 0.990849
7, 0.989447
8, 0.988074
9, 0.986736
10, 0.985423
11, 0.984139
12, 0.982884
13, 0.981653
14, 0.980447
15, 0.979265
16, 0.978107
17, 0.976975
18, 0.975865
19, 0.974777
20, 0.973713
21, 0.972673
22, 0.971652
23, 0.970655
24, 0.969670
25, 0.968699
26, 0.967747
27, 0.966818
28, 0.965904
29, 0.965006
30, 0.964126
31, 0.963260
32, 0.962408
33, 0.961578
34, 0.960767
35, 0.959970
36, 0.959189
37, 0.958418
38, 0.957663
39, 0.956920
40, 0.956185
41, 0.955463
42, 0.954755
43, 0.954060
44, 0.953374
45, 0.952699
46, 0.952036
47, 0.951382
48, 0.950736
49, 0.950095
50, 0.949463
51, 0.948833
52, 0.948213
53, 0.947601
54, 0.946998
55, 0.946406
56, 0.945825
57, 0.945252
58, 0.944693
59, 0.944139
60, 0.943593
61, 0.943057
62, 0.942524
63, 0.941998
64, 0.941478
65, 0.940962
66, 0.940457
67, 0.939962
68, 0.939476
69, 0.938998
70, 0.938526
71, 0.938059
72, 0.937600
73, 0.937144
74, 0.936692
75, 0.936249
76, 0.935811
77, 0.935378
78, 0.934947
79, 0.934522
80, 0.934101
81, 0.933682
82, 0.933265
83, 0.932852
84, 0.932441
85, 0.932037
86, 0.931641
87, 0.931243
88, 0.930845
89, 0.930451
90, 0.930065
91, 0.929686
92, 0.929313
93, 0.928952
94, 0.928596
95, 0.928244
96, 0.927892
97, 0.927545
98, 0.927204
99, 0.926866
100, 0.926531
101, 0.926200
102, 0.925873
103, 0.925549
104, 0.925232
105, 0.924914
106, 0.924596
107, 0.924285
108, 0.923983
109, 0.923682
110, 0.923382
111, 0.923091
112, 0.922799
113, 0.922508
114, 0.922221
115, 0.921939
116, 0.921660
117, 0.921378
118, 0.921098
119, 0.920815
120, 0.920536
121, 0.920262
122, 0.919994
123, 0.919732
124, 0.919471
125, 0.919205
126, 0.918940
127, 0.918675
128, 0.918411
129, 0.918146
130, 0.917884
131, 0.917622
132, 0.917360
133, 0.917096
134, 0.916833
135, 0.916568
136, 0.916304
137, 0.916041
138, 0.915777
139, 0.915513
140, 0.915249
141, 0.914991
142, 0.914737
143, 0.914493
144, 0.914253
145, 0.914014
146, 0.913773
147, 0.913533
148, 0.913295
149, 0.913053
150, 0.912805
151, 0.912556
152, 0.912305
153, 0.912048
154, 0.911797
155, 0.911551
156, 0.911307
157, 0.911062
158, 0.910817
159, 0.910571
160, 0.910325
161, 0.910085
162, 0.909851
163, 0.909616
164, 0.909378
165, 0.909143
166, 0.908904
167, 0.908670
168, 0.908440
169, 0.908209
170, 0.907974
171, 0.907734
172, 0.907497
173, 0.907260
174, 0.907023
175, 0.906782
176, 0.906546
177, 0.906308
178, 0.906074
179, 0.905836
180, 0.905597
181, 0.905354
182, 0.905110
183, 0.904868
184, 0.904631
185, 0.904393
186, 0.904158
187, 0.903924
188, 0.903689
189, 0.903449
190, 0.903211
191, 0.902971
192, 0.902734
193, 0.902498
194, 0.902259
195, 0.902020
196, 0.901785
197, 0.901554
198, 0.901322
199, 0.901092
200, 0.900863
201, 0.900638
202, 0.900412
203, 0.900185
204, 0.899961
205, 0.899737
206, 0.899515
207, 0.899292
208, 0.899072
209, 0.898851
210, 0.898628
211, 0.898403
212, 0.898175
213, 0.897951
214, 0.897729
215, 0.897511
216, 0.897291
217, 0.897068
218, 0.896841
219, 0.896620
220, 0.896400
221, 0.896186
222, 0.895974
223, 0.895764
224, 0.895557
225, 0.895345
226, 0.895137
227, 0.894929
228, 0.894718
229, 0.894507
230, 0.894298
231, 0.894091
232, 0.893885
233, 0.893673
234, 0.893458
235, 0.893244
236, 0.893034
237, 0.892827
238, 0.892621
239, 0.892416
240, 0.892213
241, 0.892007
242, 0.891801
243, 0.891595
244, 0.891394
245, 0.891193
246, 0.890992
247, 0.890792
248, 0.890591
249, 0.890387
250, 0.890184
251, 0.889985
252, 0.889782
253, 0.889583
254, 0.889384
255, 0.889191
256, 0.888998
257, 0.888807
258, 0.888614
259, 0.888419
260, 0.888220
261, 0.888022
262, 0.887823
263, 0.887628
264, 0.887431
265, 0.887232
266, 0.887037
267, 0.886847
268, 0.886658
269, 0.886459
270, 0.886261
271, 0.886064
272, 0.885868
273, 0.885678
274, 0.885483
275, 0.885286
276, 0.885089
277, 0.884886
278, 0.884687
279, 0.884486
280, 0.884285
281, 0.884085
282, 0.883884
283, 0.883683
284, 0.883481
285, 0.883282
286, 0.883083
287, 0.882882
288, 0.882681
289, 0.882485
290, 0.882283
291, 0.882081
292, 0.881874
293, 0.881665
294, 0.881457
295, 0.881252
296, 0.881047
297, 0.880847
298, 0.880647
299, 0.880445
300, 0.880252
301, 0.880057
302, 0.879864
303, 0.879670
304, 0.879473
305, 0.879274
306, 0.879079
307, 0.878884
308, 0.878687
309, 0.878491
310, 0.878302
311, 0.878108
312, 0.877912
313, 0.877715
314, 0.877517
315, 0.877319
316, 0.877118
317, 0.876919
318, 0.876726
319, 0.876531
320, 0.876338
321, 0.876146
322, 0.875954
323, 0.875764
324, 0.875576
325, 0.875389
326, 0.875203
327, 0.875020
328, 0.874835
329, 0.874649
330, 0.874462
331, 0.874281
332, 0.874101
333, 0.873920
334, 0.873736
335, 0.873550
336, 0.873362
337, 0.873172
338, 0.872984
339, 0.872797
340, 0.872614
341, 0.872430
342, 0.872248
343, 0.872066
344, 0.871891
345, 0.871717
346, 0.871546
347, 0.871375
348, 0.871202
349, 0.871028
350, 0.870857
351, 0.870678
352, 0.870499
353, 0.870322
354, 0.870148
355, 0.869975
356, 0.869805
357, 0.869631
358, 0.869459
359, 0.869283
360, 0.869108
361, 0.868936
362, 0.868765
363, 0.868591
364, 0.868417
365, 0.868248
366, 0.868079
367, 0.867915
368, 0.867753
369, 0.867588
370, 0.867420
371, 0.867254
372, 0.867085
373, 0.866917
374, 0.866743
375, 0.866565
376, 0.866386
377, 0.866205
378, 0.866018
379, 0.865820
380, 0.865620
381, 0.865421
382, 0.865220
383, 0.865018
384, 0.864819
385, 0.864623
386, 0.864426
387, 0.864229
388, 0.864037
389, 0.863839
390, 0.863643
391, 0.863447
392, 0.863251
393, 0.863060
394, 0.862870
395, 0.862679
396, 0.862492
397, 0.862302
398, 0.862110
399, 0.861918
400, 0.861721
401, 0.861523
402, 0.861326
403, 0.861130
404, 0.860936
405, 0.860739
406, 0.860546
407, 0.860351
408, 0.860155
409, 0.859962
410, 0.859771
411, 0.859582
412, 0.859394
413, 0.859210
414, 0.859025
415, 0.858838
416, 0.858649
417, 0.858461
418, 0.858273
419, 0.858084
420, 0.857897
421, 0.857710
422, 0.857521
423, 0.857331
424, 0.857139
425, 0.856941
426, 0.856746
427, 0.856545
428, 0.856344
429, 0.856145
430, 0.855944
431, 0.855748
432, 0.855554
433, 0.855363
434, 0.855172
435, 0.854977
436, 0.854781
437, 0.854587
438, 0.854395
439, 0.854203
440, 0.854014
441, 0.853821
442, 0.853623
443, 0.853426
444, 0.853227
445, 0.853024
446, 0.852818
447, 0.852612
448, 0.852406
449, 0.852201
450, 0.851999
451, 0.851800
452, 0.851601
453, 0.851398
454, 0.851194
455, 0.850993
456, 0.850794
457, 0.850598
458, 0.850398
459, 0.850200
460, 0.849999
461, 0.849802
462, 0.849607
463, 0.849408
464, 0.849209
465, 0.849013
466, 0.848815
467, 0.848615
468, 0.848421
469, 0.848227
470, 0.848032
471, 0.847839
472, 0.847653
473, 0.847464
474, 0.847278
475, 0.847092
476, 0.846908
477, 0.846724
478, 0.846545
479, 0.846369
480, 0.846194
481, 0.846016
482, 0.845835
483, 0.845654
484, 0.845476
485, 0.845297
486, 0.845114
487, 0.844935
488, 0.844757
489, 0.844575
490, 0.844393
491, 0.844207
492, 0.844021
493, 0.843838
494, 0.843658
495, 0.843476
496, 0.843298
497, 0.843123
498, 0.842949
499, 0.842773
