lag_k, autocorrelation
0, 1.000000
1, 0.957393
2, 0.917168
3, 0.879252
4, 0.843294
5, 0.808993
6, 0.776481
7, 0.745572
8, 0.716293
9, 0.688598
10, 0.662193
11, 0.637056
12, 0.613104
13, 0.590359
14, 0.568648
15, 0.547810
16, 0.527949
17, 0.509037
18, 0.491039
19, 0.473913
20, 0.457481
21, 0.441807
22, 0.426797
23, 0.412516
24, 0.398765
25, 0.385545
26, 0.372992
27, 0.361006
28, 0.349497
29, 0.338483
30, 0.328018
31, 0.317893
32, 0.308183
33, 0.298907
34, 0.290066
35, 0.281560
36, 0.273481
37, 0.265754
38, 0.258364
39, 0.251272
40, 0.244416
41, 0.237811
42, 0.231405
43, 0.225210
44, 0.219284
45, 0.213444
46, 0.207929
47, 0.202612
48, 0.197462
49, 0.192443
50, 0.187625
51, 0.182928
52, 0.178317
53, 0.173894
54, 0.169571
55, 0.165488
56, 0.161541
57, 0.157699
58, 0.154061
59, 0.150587
60, 0.147228
61, 0.144025
62, 0.140891
63, 0.137821
64, 0.134803
65, 0.131958
66, 0.129270
67, 0.126737
68, 0.124311
69, 0.122006
70, 0.119720
71, 0.117563
72, 0.115517
73, 0.113528
74, 0.111600
75, 0.109789
76, 0.107993
77, 0.106253
78, 0.104531
79, 0.102865
80, 0.101262
81, 0.099610
82, 0.097945
83, 0.096323
84, 0.094720
85, 0.093179
86, 0.091670
87, 0.090177
88, 0.088718
89, 0.087242
90, 0.085800
91, 0.084426
92, 0.083075
93, 0.081798
94, 0.080571
95, 0.079397
96, 0.078210
97, 0.077044
98, 0.075904
99, 0.074771
100, 0.073709
101, 0.072646
102, 0.071622
103, 0.070582
104, 0.069605
105, 0.068643
106, 0.067723
107, 0.066789
108, 0.065932
109, 0.065117
110, 0.064324
111, 0.063535
112, 0.062739
113, 0.061953
114, 0.061182
115, 0.060487
116, 0.059793
117, 0.059084
118, 0.058412
119, 0.057760
120, 0.057159
121, 0.056550
122, 0.055972
123, 0.055403
124, 0.054854
125, 0.054333
126, 0.053821
127, 0.053309
128, 0.052793
129, 0.052270
130, 0.051767
131, 0.051301
132, 0.050846
133, 0.050348
134, 0.049842
135, 0.049349
136, 0.048879
137, 0.048395
