lag_k, autocorrelation
0, 1.000000
1, 0.956885
2, 0.916686
3, 0.878647
4, 0.842726
5, 0.808460
6, 0.775981
7, 0.745161
8, 0.715907
9, 0.688218
10, 0.661838
11, 0.636669
12, 0.612744
13, 0.590025
14, 0.568251
15, 0.547436
16, 0.527596
17, 0.508705
18, 0.490725
19, 0.473615
20, 0.457198
21, 0.441536
22, 0.426538
23, 0.412269
24, 0.398530
25, 0.385322
26, 0.372712
27, 0.360740
28, 0.349245
29, 0.338243
30, 0.327742
31, 0.317628
32, 0.307929
33, 0.298663
34, 0.289843
35, 0.281343
36, 0.273269
37, 0.265522
38, 0.258137
39, 0.251058
40, 0.244207
41, 0.237605
42, 0.231221
43, 0.225032
44, 0.219111
45, 0.213331
46, 0.207815
47, 0.202498
48, 0.197308
49, 0.192269
50, 0.187455
51, 0.182762
52, 0.178157
53, 0.173738
54, 0.169418
55, 0.165316
56, 0.161397
57, 0.157557
58, 0.153921
59, 0.150449
60, 0.147090
61, 0.143888
62, 0.140755
63, 0.137688
64, 0.134672
65, 0.131828
66, 0.129141
67, 0.126608
68, 0.124182
69, 0.121854
70, 0.119580
71, 0.117438
72, 0.115390
73, 0.113373
74, 0.111445
75, 0.109635
76, 0.107840
77, 0.106101
78, 0.104379
79, 0.102714
80, 0.101110
81, 0.099458
82, 0.097792
83, 0.096169
84, 0.094565
85, 0.093021
86, 0.091509
87, 0.090009
88, 0.088549
89, 0.087070
90, 0.085627
91, 0.084250
92, 0.082895
93, 0.081615
94, 0.080387
95, 0.079210
96, 0.078020
97, 0.076852
98, 0.075692
99, 0.074569
100, 0.073505
101, 0.072440
102, 0.071414
103, 0.070374
104, 0.069395
105, 0.068427
106, 0.067508
107, 0.066598
108, 0.065760
109, 0.064938
110, 0.064145
111, 0.063382
112, 0.062582
113, 0.061794
114, 0.061020
115, 0.060323
116, 0.059626
117, 0.058933
118, 0.058260
119, 0.057605
120, 0.056989
121, 0.056378
122, 0.055788
123, 0.055218
124, 0.054667
125, 0.054123
126, 0.053611
127, 0.053100
128, 0.052584
129, 0.052062
130, 0.051561
131, 0.051096
132, 0.050631
133, 0.050135
134, 0.049630
135, 0.049140
136, 0.048670
137, 0.048189
138, 0.047704
139, 0.047244
140, 0.046778
141, 0.046337
142, 0.045914
143, 0.045531
144, 0.045175
145, 0.044852
146, 0.044498
147, 0.044157
148, 0.043823
149, 0.043479
150, 0.043110
151, 0.042727
152, 0.042338
153, 0.041943
154, 0.041556
155, 0.041165
156, 0.040744
157, 0.040344
158, 0.039959
159, 0.039587
160, 0.039223
161, 0.038883
162, 0.038543
163, 0.038201
164, 0.037828
165, 0.037467
166, 0.037088
167, 0.036735
168, 0.036413
169, 0.036096
170, 0.035761
171, 0.035440
172, 0.035100
173, 0.034759
174, 0.034435
175, 0.034118
176, 0.033818
177, 0.033497
178, 0.033205
179, 0.032893
180, 0.032565
181, 0.032238
182, 0.031904
183, 0.031561
184, 0.031224
185, 0.030889
186, 0.030554
187, 0.030229
188, 0.029893
189, 0.029560
190, 0.029228
191, 0.028893
192, 0.028580
193, 0.028267
194, 0.027935
195, 0.027598
196, 0.027301
197, 0.027029
198, 0.026768
199, 0.026506
200, 0.026255
201, 0.026036
202, 0.025825
203, 0.025609
204, 0.025412
205, 0.025238
206, 0.025061
207, 0.024901
208, 0.024750
209, 0.024604
210, 0.024469
211, 0.024309
212, 0.024111
213, 0.023927
214, 0.023757
215, 0.023604
216, 0.023457
217, 0.023309
218, 0.023142
219, 0.022982
220, 0.022831
221, 0.022686
222, 0.022535
223, 0.022392
224, 0.022254
225, 0.022097
226, 0.021950
227, 0.021821
228, 0.021690
229, 0.021550
230, 0.021411
231, 0.021263
232, 0.021121
233, 0.020977
234, 0.020832
235, 0.020694
236, 0.020582
237, 0.020468
238, 0.020330
239, 0.020199
240, 0.020088
241, 0.019967
242, 0.019853
243, 0.019740
244, 0.019642
245, 0.019544
246, 0.019440
247, 0.019338
248, 0.019239
249, 0.019140
250, 0.019042
251, 0.018954
252, 0.018871
253, 0.018790
254, 0.018688
255, 0.018591
256, 0.018511
257, 0.018442
258, 0.018351
259, 0.018254
260, 0.018160
261, 0.018067
262, 0.017979
263, 0.017894
264, 0.017806
265, 0.017717
266, 0.017642
267, 0.017570
268, 0.017489
269, 0.017393
270, 0.017305
271, 0.017214
272, 0.017127
273, 0.017052
274, 0.016972
275, 0.016875
276, 0.016786
277, 0.016689
278, 0.016600
279, 0.016510
280, 0.016412
281, 0.016330
282, 0.016250
283, 0.016175
284, 0.016099
285, 0.016038
286, 0.015967
287, 0.015900
288, 0.015817
289, 0.015750
290, 0.015677
291, 0.015605
292, 0.015529
293, 0.015467
294, 0.015410
295, 0.015353
296, 0.015289
297, 0.015229
298, 0.015167
299, 0.015092
300, 0.015020
301, 0.014946
302, 0.014868
303, 0.014796
304, 0.014724
305, 0.014652
306, 0.014579
307, 0.014511
308, 0.014435
309, 0.014359
310, 0.014288
311, 0.014219
312, 0.014156
313, 0.014094
314, 0.014032
315, 0.013974
316, 0.013919
317, 0.013859
318, 0.013799
319, 0.013745
320, 0.013705
321, 0.013658
322, 0.013612
323, 0.013548
324, 0.013496
325, 0.013447
326, 0.013396
327, 0.013342
328, 0.013285
329, 0.013231
330, 0.013173
331, 0.013111
332, 0.013056
333, 0.013014
334, 0.012968
335, 0.012917
336, 0.012874
337, 0.012819
338, 0.012780
339, 0.012747
340, 0.012717
341, 0.012680
342, 0.012647
343, 0.012617
344, 0.012599
345, 0.012569
346, 0.012537
347, 0.012510
348, 0.012475
349, 0.012435
350, 0.012406
351, 0.012373
352, 0.012339
353, 0.012301
354, 0.012268
355, 0.012242
356, 0.012223
357, 0.012195
358, 0.012169
359, 0.012135
360, 0.012109
361, 0.012081
362, 0.012048
363, 0.012007
364, 0.011960
365, 0.011924
366, 0.011894
367, 0.011872
368, 0.011861
369, 0.011837
370, 0.011823
371, 0.011806
372, 0.011776
373, 0.011754
374, 0.011738
375, 0.011717
376, 0.011694
377, 0.011669
378, 0.011640
379, 0.011589
380, 0.011537
381, 0.011482
382, 0.011428
383, 0.011371
384, 0.011324
385, 0.011284
386, 0.011244
387, 0.011201
388, 0.011158
389, 0.011111
390, 0.011061
391, 0.011013
