Nd, dim, samples, burnSamples, sd, device, samplerTime, mcmcTime, tuneTime, burnTime, cpuTime, kernel, blocksz, gpuTime, cuTime, kernelTime, gpuBandwidth, cuBandwidth, kernelBandwidth, acceptance, ess
200000,1000,5000,1000,0.075262,2,109130,90250,0,18060,0,0,1024,17.929825,17.421604,0.508208,89.504532,92.023697,3.151844,0,0
200000,1000,5000,1000,0.075262,2,108500,89990,0,17990,0,0,512,17.876225,17.425882,0.450365,89.773026,92.000992,3.559889,0.001,2432.316895
200000,1000,5000,1000,0.075262,2,108370,89890,0,17970,0,0,256,17.852253,17.424864,0.427381,89.89402,92.006638,3.758617,0.0008,3288.2229
200000,1000,5000,1000,0.075262,2,108370,89880,0,17970,0,0,128,17.852095,17.423851,0.428266,89.894981,92.011925,3.765385,0.001,2467.527344
200000,1000,5000,1000,0.075262,2,108770,90230,0,18020,0,0,64,17.913481,17.423206,0.490253,89.588051,92.015442,3.315844,0.0004,3134.17749
200000,1000,5000,1000,0.075262,2,108950,90370,0,18070,0,0,32,17.947924,17.423727,0.524179,89.417213,92.012375,3.150936,0.0004,2722.189697
200000,1000,5000,1000,0.075262,2,108700,90160,0,18030,0,1,1024,17.90896,17.423227,0.485762,89.608734,92.015297,3.296184,0, -nan
200000,1000,5000,1000,0.075262,2,108550,90030,0,18000,0,1,512,17.88146,17.42173,0.459794,89.746552,92.023277,3.48361,0.001,2192.981934
200000,1000,5000,1000,0.075262,2,108470,89950,0,17990,0,1,256,17.868954,17.420408,0.448532,89.809517,92.030006,3.574349,0, -nan
200000,1000,5000,1000,0.075262,2,108430,89940,0,17980,0,1,128,17.865751,17.424112,0.441644,89.825935,92.010666,3.637076,0.0014,2947.867432
200000,1000,5000,1000,0.075262,2,108460,89950,0,17990,0,1,64,17.863707,17.42354,0.440175,89.836555,92.013489,3.663388,0.0004,5000.004883
200000,1000,5000,1000,0.075262,2,108660,90130,0,18010,0,1,32,17.899572,17.42309,0.476488,89.657356,92.015961,3.41133,0, -nan
200000,1000,5000,1000,0.075262,2,108590,90070,0,18010,0,2,1024,17.890289,17.424789,0.465522,89.702393,92.007126,3.439232,0.0012,3411.798096
200000,1000,5000,1000,0.075262,2,108440,89940,0,17990,0,2,512,17.866556,17.42408,0.442472,89.821709,92.010818,3.619888,0.0004,2011.16333
200000,1000,5000,1000,0.075262,2,108360,89870,0,17980,0,2,256,17.852371,17.423435,0.428941,89.89299,92.013962,3.737545,0.0002,2589.014648
200000,1000,5000,1000,0.075262,2,108350,89860,0,17970,0,2,128,17.850193,17.42481,0.425385,89.904297,92.006828,3.776081,0.0002,1316.259399
